sad
depressed
lonely
kill myself
die
death
dead
died
suicide
kill yourself
stupid
you should die
nobody likes you
you are fat
you are stupid
fat
ugly
gross
disgusting
you are ugly
you are idiot
dumbass
duffer
trash
you are asshole
you are bitch
whore
